FIPS,Walkability_Index,Obesity_Rate,Fast_Food_Per_1000,Log_Fast_Food
5055,5.78846153846154,37.4,0.592144191,0.46508165555695485
5057,5.8083333335,37.4,0.799887061,0.58772391904475
5059,5.736111111375,37.4,0.503152072,0.40756428462797273
5061,5.72222222216667,37.4,0.839118183,0.6092862083751248
5063,5.47619047607143,37.4,0.874010146,0.6280805978890877
5065,5.3333333334,37.4,0.293836772,0.2576120459273681
5067,5.87254902005882,37.4,0.420774221,0.3512019490877858
5069,6.81690140838028,37.4,0.887162149,0.6350741922124367
5071,5.36111111122222,37.4,0.64119488,0.4954245619124926
5073,5.1041666665,37.4,0.45482111,0.37488294461106686
5075,5.64814814816667,37.4,0.304692268,0.26596720300543025
5077,4.51515151509091,37.4,0.35240221,0.3018824259821723
5079,4.111111111,37.4,0.463535219,0.3808548917731282
5081,4.20512820507692,37.4,0.656814456,0.5048967563146732
5083,4.99999999994118,37.4,0.513778627,0.41460892701931285
5085,5.51315789471053,37.4,0.527590275,0.4236915101536207
5087,4.24358974369231,37.4,0.300408542,0.2626784781741166
5089,4.54761904771429,37.4,0.416914821,0.3484818466928401
5091,6.34210526310526,37.4,0.602172434,0.4713604795578729
5093,6.24418604648837,37.4,0.823641002,0.6008350532017755
5095,5.44444444455556,37.4,1.518833518,0.9237959046742911
5097,4.3958333335,37.4,0.333111256,0.28751550057945685
5099,4.270833333375,37.4,0.370416105,0.3151144200019175
5103,5.80128205142308,37.4,0.64747268,0.4992424045559685
5105,4.44444444455556,37.4,0.290500641,0.255030236883111
5107,6.27083333333333,37.4,0.404647678,0.3397865083500897
5109,5.49999999988889,37.4,0.375833869,0.3190599974837546
5111,5.4782608696087,37.4,0.687196672,0.5230683776816678
5113,5.333333333375,37.4,0.405947119,0.3407111817281052
5115,6.39393939412121,37.4,0.854913414,0.6178380178810404
5119,10.5269186714536,37.4,0.966970325,0.6764944528670913
5121,4.63541666675,37.4,0.493231773,0.4009427462942712
5123,5.06790123459259,37.4,0.445668906,0.3685721251809223
5125,5.78688524590164,37.4,0.556595266,0.44250091429478977
5127,4.25925925933333,37.4,0.491932303,0.40007212742777193
5129,4.1999999999,37.4,0.51007396,0.4121586297597958
5131,7.54838709663441,37.4,0.830786109,0.6047454423750764
5133,5.53030303,37.4,0.41911149,0.3500309645065718
5135,5.20370370377778,37.4,0.401744723,0.33771769143456953
5137,4.9999999996,37.4,0.710115194,0.5365607331579354
5139,6.34146341458537,37.4,0.811114907,0.5939426263638714
5141,4.56410256423077,37.4,0.483646691,0.3945030375589521
5143,8.00150150168468,37.4,0.744194448,0.5562928146844803
5145,5.97101449286956,37.4,0.736704409,0.5519892994905742
5147,4.979166666625,37.4,0.638569593,0.49382366185866033
5149,4.81372549017647,37.4,0.519333363,0.41827166168149055
6001,14.1388092963658,28.1,0.827155709,0.6027605003652745
6003,4.8333333335,28.1,2.680965185,1.3031749963244468
6005,6.53571428546429,28.1,0.573809326,0.4534990028859134
6007,7.05897435887179,28.1,0.737976134,0.552721294873198
6009,6.38333333343333,28.1,0.60464716,0.4729038944078321
6011,6.65000000075,28.1,0.417478442,0.34887954803851173
6013,11.4921507065212,28.1,0.678623259,0.5179739687602759
6015,8.69166666685,28.1,0.321796328,0.27899166602039754
6017,8.37066666692,28.1,0.673837006,0.5151185993458298
6019,11.1188455006689,28.1,0.731328666,0.5488891287659639
6021,6.39855072482609,28.1,0.671781659,0.5138899194128335
6023,10.5540123458704,28.1,0.622328222,0.4838622915721216
6025,8.56944444448958,28.1,0.610205948,0.4763620888279827
6027,6.906250000125,28.1,0.997450948,0.6918718416609022
6029,10.323099415386,28.1,0.726678073,0.5461993735660186
6031,10.8251028808642,28.1,0.674560547,0.5155507708546241
6033,9.44097222229167,28.1,0.542812407,0.4336069891915212
6035,7.74,28.1,0.533049047,0.4272585935070343
6037,13.5723476005516,28.1,0.879006267,0.630743055710492
6039,8.916666666775,28.1,0.507096171,0.4101847337993001
6041,11.8999999996343,28.1,0.773320079,0.5728535404093906
6043,4.83333333341176,28.1,0.349650353,0.2998455611268436
6045,9.01687763731646,28.1,0.720419228,0.5425679983355762
6047,10.9525462962986,28.1,0.529987276,0.42525941902989384
6051,9.80392156847059,28.1,1.65130043,0.9750502479322615
6053,11.8791130190343,28.1,0.666038513,0.5104486605242748
6055,8.12735849066038,28.1,0.566322207,0.4487303280010786
6057,7.78666666654667,28.1,0.622452438,0.48393885514487206
6059,13.1737063448634,28.1,0.970046937,0.67805736835439
6061,10.2308294209577,28.1,0.878520906,0.6304847150623196
6063,7.97727272713636,28.1,0.579954684,0.45739616561490914
6065,10.729288026032,28.1,0.69621098,0.5283969282177547
6067,12.5303362573607,28.1,0.772217631,0.5722316612329712
6069,10.4208333331,28.1,0.515182257,0.41553573337583427
6071,10.9180402930833,28.1,0.773347855,0.5728692035616888
6073,12.1866295264981,28.1,0.853432059,0.6170390874202298
6075,15.9572576018812,28.1,1.152773023,0.7667567892297844
6077,11.0569620251924,28.1,0.658882499,0.5061441822985527
6079,10.7443762782577,28.1,0.9247154,0.6547781126538789
6081,10.0694744421749,28.1,0.767498195,0.569565097571662
6083,10.4957401491949,28.1,0.847636759,0.6139073949165599
6085,13.55488372092,28.1,0.798068285,0.5867129136375033
6087,11.9770408163112,28.1,0.696489751,0.5285612639624787
6089,8.93765903314504,28.1,0.714975953,0.5393990589452561
6093,8.58108108086486,28.1,0.71684587,0.5404888108505099
6095,12.2239766081333,28.1,0.660051227,0.5068484615308573
6097,10.8634797590207,28.1,0.645136237,0.4978231996330288
6099,12.0227272730455,28.1,0.707168579,0.53483619640535
6101,10.7956989250484,28.1,0.66400373,0.509226583983043
6103,8.41472868186047,28.1,0.511675477,0.41321862310692353
6105,5.87179487176923,28.1,0.491159141,0.3995537644933285
6107,7.35617283958889,28.1,0.614491761,0.47902020807526846
6109,6.30208333335417,28.1,0.476932943,0.389967601706137
6111,11.6914728683605,28.1,0.772533894,0.5724101013851843
6113,12.9289617487705,28.1,0.709968686,0.5364750580661948
6115,9.61564625828571,28.1,0.399201602,0.3359017896615655
8001,12.0384615386,25.0,0.673228383,0.5147549237458799
8003,7.70000000073333,25.0,0.988875151,0.6875692281681985
8005,12.3986928104951,25.0,0.765074849,0.5681930968515323
8007,5.8333333334,25.0,0.563539028,0.4469518595485704
8013,12.34999999992,25.0,0.886386633,0.634663164791979
8014,9.40942028947826,25.0,1.010576487,0.6984214904017522
8015,7.36666666693333,25.0,1.113208413,0.7482073674661031
