"","GEOID10","NatWalkInd","County"
"248","08007",5.8333333334,"Archuleta"
"249","08009",5.66666666675,"Baca"
"250","08011",6.3666666666,"Bent"
"251","08013",12.34999999992,"Boulder"
"252","08014",9.40942028947826,"Broomfield"
"253","08015",7.36666666693333,"Chaffee"
"254","08017",6.16666666666667,"Cheyenne"
"255","08019",6.33333333266667,"Clear Creek"
"256","08021",4.61111111116667,"Conejos"
"257","08023",5.3333333335,"Costilla"
"258","08025",4.45833333325,"Crowley"
"259","08027",4.7083333335,"Custer"
"260","08029",6.15277777758333,"Delta"
"261","08031",14.4622314623077,"Denver"
"262","08033",6.4166666665,"Dolores"
"263","08035",8.72795698935484,"Douglas"
"264","08037",8.85057471241379,"Eagle"
"265","08039",4.53333333326667,"Elbert"
"266","08041",11.1136986302082,"El Paso"
"267","08043",6.52777777802778,"Fremont"
"268","08045",9.13425925927778,"Garfield"
"269","08047",4.66666666675,"Gilpin"
"270","08049",8.12962962966667,"Grand"
"271","08051",8.69999999995,"Gunnison"
"272","08053",6.666666667,"Hinsdale"
"273","08055",5.16666666671429,"Huerfano"
"274","08057",6.6666666685,"Jackson"
"275","08059",10.9971544713951,"Jefferson"
"276","08061",6.5,"Kiowa"
"277","08063",6.52083333325,"Kit Carson"
"278","08065",7.708333333375,"Lake"
"279","08067",6.68181818157576,"La Plata"
"280","08069",10.3923611108958,"Larimer"
"281","08071",6.68627450947059,"Las Animas"
"282","08073",6.3,"Lincoln"
"283","08075",7.3437500003125,"Logan"
"284","08077",7.68939393973864,"Mesa"
"285","08079",7.166666667,"Mineral"
"286","08081",6.57777777793333,"Moffat"
"287","08083",6.65909090895455,"Montezuma"
"288","08085",6.29292929290909,"Montrose"
"289","08087",6.46000000008,"Morgan"
"290","08089",8.483333333,"Otero"
"291","08091",6.375,"Ouray"
"292","08093",5,"Park"
"293","08095",7.25000000066667,"Phillips"
"294","08097",9.65384615415385,"Pitkin"
"295","08099",8.36904761864286,"Prowers"
"296","08101",7.23507462687313,"Pueblo"
"297","08103",6.69047619057143,"Rio Blanco"
"298","08105",6.3999999999,"Rio Grande"
"299","08107",7,"Routt"
"300","08109",6.08333333383333,"Saguache"
"301","08111",7,"San Juan"
"302","08113",7.444444444,"San Miguel"
"303","08115",6.44444444466667,"Sedgwick"
"304","08117",7.11363636368182,"Summit"
"305","08119",6.31111111093333,"Teller"
"306","08121",5.3666666668,"Washington"
"307","08123",7.32380952386286,"Weld"
"308","08125",5.74074074066667,"Yuma"
"309","09001",10.3442915392569,"Fairfield"
"310","09003",10.7001499249925,"Hartford"
"311","09005",7.50233100248252,"Litchfield"
"312","09007",8.89635854342857,"Middlesex"
"313","09009",11.2255838640732,"New Haven"
"314","09011",9.21453900689894,"New London"
"315","09013",6.71598639459184,"Tolland"
"316","09015",6.75568181821591,"Windham"
"317","10001",8.38497652559155,"Kent"
"319","10003",11.7959927143224,"New Castle"
"321","10005",8.24185463638346,"Sussex"
"323","11001",14.4714814815267,"District of Columbia"
"324","12001",10.2763440857613,"Alachua"
"325","12003",5.68055555525,"Baker"
"326","12005",10.2993827160833,"Bay"
"328","12007",5.40740740755556,"Bradford"
"329","12009",10.1169312168159,"Brevard"
"331","12011",12.4653518122303,"Broward"
"333","12013",4.9166666669,"Calhoun"
"334","12015",7.30218068517757,"Charlotte"
"336","12017",6.93295019150575,"Citrus"
"338","12019",7.10905349806173,"Clay"
"339","12021",7.26215277775521,"Collier"
"341","12023",6.491666666575,"Columbia"
"342","12027",6.01282051288462,"DeSoto"
"344","12031",11.4301295160266,"Duval"
"346","12033",10.1947368421789,"Escambia"
"348","12035",6.68300653598039,"Flagler"
"351","12039",4.619791666625,"Gadsden"
"353","12043",4.4833333332,"Glades"
"358","12051",6.38194444454167,"Hendry"
"360","12053",8.48742138373585,"Hernando"
"363","12057",10.5944189603417,"Hillsborough"
"366","12061",7.39560439563736,"Indian River"
"368","12063",5.18803418797436,"Jackson"
"369","12065",5.4333333333,"Jefferson"
"372","12069",7.26689189182432,"Lake"
"373","12071",9.44010416666211,"Lee"
"375","12073",9.94915254238983,"Leon"
"378","12079",5.1770833335625,"Madison"
"379","12081",11.2536231882029,"Manatee"
"381","12083",7.42292870909249,"Marion"
"383","12085",7.05615942034783,"Martin"
"384","12086",13.9256572029716,"Miami-Dade"
"385","12087",7.34848484845455,"Monroe"
"387","12089",6.49145299138462,"Nassau"
"389","12091",7.83478260866957,"Okaloosa"
"391","12093",6.04320987651852,"Okeechobee"
"393","12095",11.7067736185989,"Orange"
"395","12097",10.1776315789211,"Osceola"
"396","12099",10.8930602957463,"Palm Beach"
"398","12101",9.08034744852769,"Pasco"
"400","12103",12.8905887808275,"Pinellas"
"402","12105",8.15101010088788,"Polk"
"405","12109",8.4145833333125,"St. Johns"
"407","12111",7.26258992802158,"St. Lucie"
"409","12113",6.39826839818182,"Santa Rosa"
"411","12115",11.7729083665817,"Sarasota"
"413","12117",9.66028368771064,"Seminole"
"414","12119",5.75,"Sumter"
"419","12127",10.7575231481944,"Volusia"
"421","12129",5.3095238095,"Wakulla"
"431","13013",5.96078431361765,"Barrow"
"435","13021",7.21693121690476,"Bibb"
"436","13023",6.166666666625,"Bleckley"
"439","13029",6.24358974361538,"Bryan"
"441","13031",6.3968253972619,"Bulloch"
"443","13035",6.03571428528571,"Butts"
"445","13039",6.09722222229167,"Camden"
"448","13045",6.12893081756604,"Carroll"
"449","13047",6.08333333338235,"Catoosa"
"450","13049",4.888888889,"Charlton"
"451","13051",11.5927750409212,"Chatham"
"453","13053",5.2666666667,"Chattahoochee"
